x_px, y_px, x_nm, y_nm, Abs Intensity, Rel Intensity, r_nm, 1/r_nm
1014, 2349, 800.147400, 1853.595900, 331.342223, 0.467850, 813.600368, 0.001229
2754, 1533, 2173.181400, 1209.690300, 377.779292, 0.533419, 706.193361, 0.001416
2751, 1569, 2170.814100, 1238.097900, 363.975246, 0.513928, 694.237605, 0.001440
2711, 1546, 2139.250100, 1219.948600, 356.595959, 0.503508, 670.848714, 0.001491
2711, 1500, 2139.250100, 1183.650000, 356.368537, 0.503187, 684.877433, 0.001460
2757, 1467, 2175.548700, 1157.609700, 306.554234, 0.432850, 728.706400, 0.001372
2820, 1474, 2225.262000, 1163.133400, 350.909954, 0.495480, 771.932613, 0.001295
2734, 1405, 2157.399400, 1108.685500, 329.763161, 0.465621, 734.636843, 0.001361
2662, 1471, 2100.584200, 1160.766100, 306.044021, 0.432130, 659.974955, 0.001515
1086, 2160, 856.962600, 1704.456000, 345.350656, 0.487630, 699.996195, 0.001429
1090, 2114, 860.119000, 1668.157400, 344.690500, 0.486698, 685.346865, 0.001459
1100, 2117, 868.010000, 1670.524700, 347.036578, 0.490011, 678.536532, 0.001474
1116, 2088, 880.635600, 1647.640800, 332.442967, 0.469405, 659.782927, 0.001516
1119, 2058, 883.002900, 1623.967800, 346.917877, 0.489843, 651.286734, 0.001535
1119, 2032, 883.002900, 1603.451200, 286.161043, 0.404055, 646.546474, 0.001547
1861, 1855, 1468.515100, 1463.780500, 439.075817, 0.619969, 45.767800, 0.021849
1943, 1832, 1533.221300, 1445.631200, 376.376338, 0.531438, 26.230899, 0.038123
1920, 1792, 1515.072000, 1414.067200, 418.766148, 0.591292, 49.719562, 0.020113
1920, 1789, 1515.072000, 1411.699900, 436.981204, 0.617011, 52.086578, 0.019199
1861, 1842, 1468.515100, 1453.522200, 354.337913, 0.500320, 46.903350, 0.021320
1878, 1819, 1481.929800, 1435.372900, 322.842315, 0.455849, 43.054789, 0.023226
1940, 1901, 1530.854000, 1500.079100, 399.533369, 0.564135, 39.902252, 0.025061
2006, 1858, 1582.934600, 1466.147800, 391.083667, 0.552204, 68.692503, 0.014558
